;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.2.2  Brasil: Dispêndios do governo federal em ciência e tecnologia (C&T)(1)(2) por órgão, 2000-2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  (em milhões de R$ correntes);;;;;;
Órgãos;2000;;;2001;;;2002;;;2003;;;2004;;;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;;;;;;;
;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;C&T;P&D;ACTC;;;;;;
Total;5.795,4;4.007,7;1.787,8;6.266,0;4.563,4;1.702,6;6.522,1;4.828,3;1.693,9;7.392,5;5.802,4;1.590,1;8.688,2;6.418,3;2.269,8;9.570,2;7.085,2;2.485,0;11.476,6;8.483,5;2.993,1;14.083,4;10.444,8;3.638,7;15.974,5;12.069,1;3.905,4;18.475,2;13.461,9;5.013,2;22.577,0;16.039,5;6.537,4;23.469,0; 17.784,2 ;5.684,8;26.394,7; 20.020,7 ; 6.374,0 ;32.897,8; 25.802,5 ; 7.095,3 ; 33.336,9 ; 26.102,1 ; 7.234,8 ; 33.845,0 ; 27.219,8 ; 6.625,2 ; 34.022,4 ; 26.592,2 ; 7.430,1 ; 33.049,6 ; 25.711,2 ; 7.338,4 ; 33.147,6 ; 25.885,3 ; 7.262,3 ; 37.317,8 ; 29.406,7 ; 7.911,1 ;;;;;;
Min. da Agricultura, Pecuária e Abastecimento;700,1;577,8;122,3;751,0;627,1;123,9;703,7;638,4;65,3;757,3;706,9;50,4;868,1;802,4;65,7;959,3;894,3;64,9;1.062,6;989,8;72,8;1.224,2;1.139,2;85,0;1.442,1;1.367,7;74,4;1.942,9;1.814,4;128,5;2.016,9;1.859,9;157,0;2.190,1; 2.060,2 ;129,9;2.448,3; 2.332,8 ;115,5;2.601,1; 2.470,6 ;130,5;2.779,5; 2.665,3 ;114,2;2.993,8; 2.881,6 ;112,3;3.370,1;3.191,7;178,5;3.535,4;3.390,2;145,2;3.904,7;3.742,8;161,9;4.225,3;3.836,8;388,5;;;;;;
Min. da Ciência, Tecnologia e Inovações e Comunicações;1.255,6;1.046,8;208,8;1.613,4;1.349,5;263,9;1.514,1;1.223,7;290,4;2.000,9;1.689,5;311,4;2.228,6;1.686,6;542,0;2.690,5;2.029,9;660,7;3.193,1;2.356,2;837,0;3.645,8;2.820,8;825,0;4.396,8;3.339,0;1.057,8;5.251,8;3.816,2;1.435,7;6.445,4;4.883,3;1.562,1;5.985,2; 4.475,5 ;1.509,7;6.640,2; 5.056,3 ;1.583,9;9.471,9; 7.804,6 ;1.667,3;7.099,8; 5.488,4 ;1.611,4;7.035,4; 5.612,1 ;1.423,3;5.849,0;4.380,0;1.469,0;5.868,6;4.559,5;1.309,1;6.013,2;4.617,0;1.396,1;6.422,4;5.333,1;1.089,4;;;;;;
Min. da Cultura;0,6;-;0,6;0,7;-;0,7;0,2;-;0,2;0,2;-;0,2;-;-;-;0,3;-;0,3;1,7;0,2;1,6;5,1;5,1;-;2,7;1,6;1,1;4,5;0,4;4,1;10,2;8,3;1,9;2,0; 0,9 ;1,0;0,7; 0,7 ;-;0,1; - ;0,1;11,0; 11,0 ;-;4,4; 4,4 ;-;4,1;3,2;0,9;3,1;3,1;-;-;-;-;-;-;-;;;;;;
Min. da Defesa;222,1;95,9;126,2;237,6;103,5;134,1;207,1;78,6;128,5;128,9;80,1;48,9;228,2;83,7;144,5;221,6;97,1;124,6;185,7;47,7;138,0;175,9;55,5;120,4;285,6;109,2;176,4;391,5;167,3;224,2;351,1;179,0;172,1;349,9; 208,9 ;141,1;505,4; 311,3 ;194,1;525,1; 370,4 ;154,6;602,9; 429,9 ;173,0;498,0; 397,2 ;100,8;725,7;353,4;372,3;688,5;404,1;284,3;738,8;346,8;392,0;823,4;179,0;644,5;;;;;;
Min. da Educação;2.087,2;1.980,8;106,4;2.270,1;2.099,0;171,1;2.613,3;2.402,4;210,8;2.901,8;2.733,2;168,6;3.347,1;3.074,8;272,3;3.631,5;3.295,6;335,9;4.401,6;4.094,1;307,5;5.641,7;5.226,3;415,4;6.576,7;6.145,3;431,4;6.996,6;6.405,9;590,7;8.508,8;7.767,4;741,4;10.633,6; 9.533,3 ;1.100,3;11.486,7; 10.484,9 ;1.001,8;14.665,3; 13.272,3 ;1.393,0;17.137,1; 15.501,9 ;1.635,2;17.991,9; 16.344,6 ; 1.647,3 ;17.964,0; 15.964,4 ; 1.999,6 ; 17.048,8 ; 15.112,5 ; 1.936,4 ;16.731,0;14.896,2;1.834,8;20.053,0;17.975,0;2.078,0;;;;;;
     Orçamento executado;563,8;457,4;106,4;679,7;508,6;171,1;751,9;541,0;210,8;742,6;574,0;168,6;804,2;531,9;272,3;1.015,4;679,5;335,9;1.082,1;774,6;307,5;1.249,8;834,4;415,4;1.543,6;1.112,2;431,4;1.945,9;1.355,2;590,7;2.438,9;1.697,5;741,4;3.502,7; 2.402,3 ;1.100,3;3.479,9; 2.478,1 ;1.001,8;4.943,7; 3.550,6 ;1.393,0;5.976,5; 4.341,3 ;1.635,2;7.955,9; 6.308,6 ;1.647,3;6.008,5;4.008,8;1.999,6;4.997,6;3.061,2;1.936,4;4.347,6;2.512,8;1.834,8;5.090,7;3.012,6;2.078,0;;;;;;
     Pós-graduação(3);1.523,4;1.523,4;-;1.590,4;1.590,4;-;1.861,4;1.861,4;-;2.159,3;2.159,3;-;2.542,9;2.542,9;-;2.616,1;2.616,1;-;3.319,5;3.319,5;-;4.391,9;4.391,9;-;5.033,1;5.033,1;-;5.050,7;5.050,7;-;6.069,8;6.069,8;-;7.130,9; 7.130,9 ;-;8.006,8; 8.006,8 ;-;9.721,7; 9.721,7 ;-;11.160,7; 11.160,7 ;-;10.036,0; 10.036,0 ;-;11.955,6;11.955,6;-;12.051,3;12.051,3;-;12.383,4;12.383,4;-;14.962,3;14.962,3;-;;;;;;
